sort method         	   1       2       3      same  inverted	   total
BubbleSort_Raw      	 1986.49 2053.22 1973.87  1456.8  2198.6	 9668.99
BubbleSort_Optimized	 1883.33 1698.38  1749.3    0.65 2162.04	 7493.71
insertion_sort      	 1064.02 1045.59 1066.19   0.775 2112.44	 5289.03
merge_sort          	   4.126    4.21   5.043   3.194   3.164	  19.737
merge_sort_3U       	   4.242   4.096   4.882   3.019   2.904	  19.143
quicksort           	   7.287   7.559   7.454   6.409   4.718	  33.427
quicksort_3way      	    8.12   8.056   6.046   0.527    NULL	  22.749
selection_sort      	 1350.28 1406.73 1366.72 1335.64 1354.15	 6813.53
shell_sort          	   10.56  10.042  10.531   2.589   5.184	  38.906
sort() function(STL)	  15.635  17.637  19.825   1.101   9.942	   64.14
