sort method         	   1       2       3      same  inverted	   total
BubbleSort_Raw      	 148.731 156.212 158.543  87.054 101.286	 651.826
BubbleSort_Optimized	 145.381 144.343 164.495    0.37 104.907	 559.496
insertion_sort      	   60.95  46.134  54.983    0.32  93.032	 255.419
merge_sort          	   1.138   1.365   1.389   0.759   0.696	   5.347
merge_sort_3U       	   0.981    1.41   1.374   0.706    0.75	   5.221
quicksort           	   0.872   1.193   1.103   0.789   0.594	   4.551
quicksort_3way      	   0.913   1.134   1.157   0.227 117.852	 121.283
selection_sort      	  84.671 100.269  102.35 103.512 107.585	 498.387
shell_sort          	   1.224   1.427   1.427   0.492   0.577	   5.147
sort() function(STL)	   0.592   0.849   0.836    0.25   0.332	   2.859
